variant,variant_slug,layer_index,layer_name,activation_mean,activation_mean_std_over_batches,activation_std,activation_std_std_over_batches,zero_activation_ratio,zero_activation_ratio_std_over_batches
PlainNet-HeInit,plainnet_he_init,22,stage2.1.relu2,0.009522563219070435,0.00030071427058550723,0.016951370984315872,0.0006555975265858568,0.51234130859375,0.00033691487450432714
PlainNet-HeInit,plainnet_he_init,23,stage2.2.relu1,0.009522583149373532,0.00031208728214987205,0.015100959315896034,0.0006005699324732681,0.4531101226806641,0.000543021050342524
PlainNet-HeInit,plainnet_he_init,24,stage2.2.relu2,0.012819417938590049,0.0004155297200279425,0.017908717691898345,0.00073311449994662,0.349456787109375,0.0007319776857034698
PlainNet-HeInit,plainnet_he_init,25,stage2.3.relu1,0.012682536803185939,0.00040645892184291424,0.02178527005016804,0.0008593760790374469,0.4551673889160156,0.0003829040265875689
PlainNet-HeInit,plainnet_he_init,26,stage2.3.relu2,0.008226339519023896,0.0002546543008898344,0.0164411261677742,0.0006408167516826307,0.599951171875,0.0006316894489673721
PlainNet-HeInit,plainnet_he_init,27,stage2.4.relu1,0.0075539638288319114,0.00023788279294649048,0.01517434697598219,0.0005758807310681564,0.5701492309570313,0.0007563445203234664
PlainNet-HeInit,plainnet_he_init,28,stage2.4.relu2,0.00817764401435852,0.0002493485981773473,0.014595488272607326,0.0005438461102410504,0.526690673828125,0.0008137989441493206
PlainNet-HeInit,plainnet_he_init,29,stage2.5.relu1,0.007116146199405193,0.00021179990913941635,0.01331822369247675,0.0004972839498470032,0.5366218566894532,0.0007121505472074454
PlainNet-HeInit,plainnet_he_init,30,stage2.5.relu2,0.009239950589835644,0.00027643809090190026,0.014821699634194375,0.0005580732882566999,0.42603912353515627,0.0005367312942972667
PlainNet-HeInit,plainnet_he_init,31,stage2.6.relu1,0.008038556762039661,0.00024179511270015273,0.014999639429152011,0.0005643376664287405,0.5186553955078125,0.0003251464996131656
PlainNet-HeInit,plainnet_he_init,32,stage2.6.relu2,0.00791513780131936,0.00023174750814930053,0.013042199984192848,0.0004726874191853789,0.4707935333251953,0.0004737457774819905
PlainNet-HeInit,plainnet_he_init,33,stage2.7.relu1,0.00801753718405962,0.00022973221902023393,0.0131454611197114,0.0004814266993342529,0.4471569061279297,0.000702738266460189
PlainNet-HeInit,plainnet_he_init,34,stage2.7.relu2,0.008008549828082323,0.00022860769396778415,0.013187983818352223,0.00048566661974800015,0.4587116241455078,0.0006741391462743511
