model_type,beta,depth,run_seed,lag,acf_value,gradient_norm,gradient_std,collapse_flag
feedforward,,2,13,7,0.8529562770591269,24.244071013608625,0.9725901824560907,False
feedforward,,2,13,8,0.8299885980729429,24.244071013608625,0.9725901824560907,False
feedforward,,2,13,9,0.8077580835154897,24.244071013608625,0.9725901824560907,False
feedforward,,2,13,10,0.7872202980747178,24.244071013608625,0.9725901824560907,False
feedforward,,2,13,11,0.765610194681607,24.244071013608625,0.9725901824560907,False
feedforward,,2,13,12,0.7415903750744839,24.244071013608625,0.9725901824560907,False
feedforward,,2,13,13,0.7152752136567986,24.244071013608625,0.9725901824560907,False
feedforward,,2,13,14,0.6884997336810789,24.244071013608625,0.9725901824560907,False
feedforward,,2,13,15,0.657856440297835,24.244071013608625,0.9725901824560907,False
feedforward,,2,14,0,1.0,19.995011430170127,0.641175128187274,False
feedforward,,2,14,1,0.9667521047623789,19.995011430170127,0.641175128187274,False
feedforward,,2,14,2,0.9217481632297012,19.995011430170127,0.641175128187274,False
feedforward,,2,14,3,0.8590147030654529,19.995011430170127,0.641175128187274,False
feedforward,,2,14,4,0.79147646116088,19.995011430170127,0.641175128187274,False
feedforward,,2,14,5,0.7207439169626356,19.995011430170127,0.641175128187274,False
feedforward,,2,14,6,0.649170725453025,19.995011430170127,0.641175128187274,False
feedforward,,2,14,7,0.5754631376397373,19.995011430170127,0.641175128187274,False
feedforward,,2,14,8,0.5065464362420099,19.995011430170127,0.641175128187274,False
feedforward,,2,14,9,0.43704050114316967,19.995011430170127,0.641175128187274,False
feedforward,,2,14,10,0.37123658408720256,19.995011430170127,0.641175128187274,False
feedforward,,2,14,11,0.3090014161488161,19.995011430170127,0.641175128187274,False
feedforward,,2,14,12,0.250355925575493,19.995011430170127,0.641175128187274,False
feedforward,,2,14,13,0.18725323148907422,19.995011430170127,0.641175128187274,False
feedforward,,2,14,14,0.1279886514393865,19.995011430170127,0.641175128187274,False
feedforward,,2,14,15,0.06984067910495668,19.995011430170127,0.641175128187274,False
feedforward,,2,15,0,1.0,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,1,0.9561879549715552,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,2,0.9187515017097364,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,3,0.8789187009087643,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,4,0.8545334701605038,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,5,0.8378050032312363,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,6,0.8291194130347974,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,7,0.8169363069867953,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,8,0.8001243145213278,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,9,0.7788065503047146,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,10,0.7629096241361899,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,11,0.7578841090071632,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,12,0.7499373869065626,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,13,0.7332549695331501,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,14,0.7169597648080787,17.776228808036713,0.6920992340055641,False
feedforward,,2,15,15,0.705927834530188,17.776228808036713,0.6920992340055641,False
feedforward,,2,16,0,1.0,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,1,0.9856782393320623,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,2,0.9736520499274424,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,3,0.9609987378074165,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,4,0.9468227678664267,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,5,0.932887628370232,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,6,0.9172508266200777,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,7,0.9028755245961827,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,8,0.8861354341867287,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,9,0.8692938481208131,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,10,0.8524918452583428,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,11,0.8320968163588576,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,12,0.811668173729114,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,13,0.7914310362916809,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,14,0.7729227493435586,26.751812143471767,1.3477338050848808,False
feedforward,,2,16,15,0.7543174219074095,26.751812143471767,1.3477338050848808,False
feedforward,,2,17,0,1.0,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,1,0.9365699721742176,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,2,0.8658819166169439,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,3,0.8023395917296288,19.818741013468575,0.49003015787358406,False
