model_type,beta,depth,lag,acf_mean,acf_std,valid_runs,collapsed_runs
resnet,0.1,24,6,0.8163076041365918,0.09299606920432993,20,0
resnet,0.1,24,7,0.7874493831379661,0.10700221644204498,20,0
resnet,0.1,24,8,0.7593308655436946,0.11919870168718169,20,0
resnet,0.1,24,9,0.730977835875658,0.13331840641193543,20,0
resnet,0.1,24,10,0.7046108533845943,0.14433818496455544,20,0
resnet,0.1,24,11,0.6781721349036632,0.15272600574560022,20,0
resnet,0.1,24,12,0.6520419517843586,0.16098471404672696,20,0
resnet,0.1,24,13,0.6275680976815173,0.16726352712027345,20,0
resnet,0.1,24,14,0.602503221876518,0.17559181277287844,20,0
resnet,0.1,24,15,0.5772811483426349,0.1823095910532659,20,0
resnet,0.1,50,0,1.0,0.0,20,0
resnet,0.1,50,1,0.9647645159290177,0.02124126494707654,20,0
resnet,0.1,50,2,0.9326573695581363,0.037934750184959516,20,0
resnet,0.1,50,3,0.9034285676659473,0.05199056312351119,20,0
resnet,0.1,50,4,0.8719745294907622,0.0652307359961917,20,0
resnet,0.1,50,5,0.8404399159844074,0.07784458032399222,20,0
resnet,0.1,50,6,0.8070087280126301,0.09175609917243313,20,0
resnet,0.1,50,7,0.771505918159215,0.10834562835879342,20,0
resnet,0.1,50,8,0.7386362126963955,0.11891526929634262,20,0
resnet,0.1,50,9,0.709195292226046,0.1261414285784464,20,0
resnet,0.1,50,10,0.6780829309720044,0.1364649733559858,20,0
resnet,0.1,50,11,0.6481319415193547,0.14537086522156917,20,0
resnet,0.1,50,12,0.6186410218514802,0.15439589272372148,20,0
resnet,0.1,50,13,0.5896964984174734,0.16361621456235584,20,0
resnet,0.1,50,14,0.5619915391674205,0.1703528766679378,20,0
resnet,0.1,50,15,0.5336710896149264,0.177878217266575,20,0
white_noise,,,0,1.0,0.0,20,0
white_noise,,,1,-0.006649580611377923,0.06880955511634658,20,0
white_noise,,,2,0.0011432865803267997,0.062312159134139816,20,0
white_noise,,,3,0.01704305395440002,0.06349979935245319,20,0
white_noise,,,4,0.003453757362778931,0.0524758342787156,20,0
white_noise,,,5,-0.03550765787392882,0.055766396852186574,20,0
white_noise,,,6,-0.019598581039647487,0.05649760082296529,20,0
white_noise,,,7,0.0048391502138831685,0.04729794782657672,20,0
white_noise,,,8,-0.016327014680163506,0.07325256210343735,20,0
white_noise,,,9,0.001848561872062248,0.06816735106631241,20,0
white_noise,,,10,-0.010893140162360078,0.05676435670444362,20,0
white_noise,,,11,-0.0028665850332373487,0.04967416180512697,20,0
white_noise,,,12,-0.012416592420212126,0.052492861273973575,20,0
white_noise,,,13,0.00546673103284941,0.0567971097675061,20,0
white_noise,,,14,-0.007394964493616046,0.04519678274303428,20,0
white_noise,,,15,0.013846460558290275,0.057919030077418845,20,0
brown_noise,,,0,1.0,0.0,20,0
